name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,id,image1,image2
3/4 Sit-Up,pull,beginner,compound,body only,abdominals,,"'Lie down on the floor and secure your feet. Your legs should be bent at the knees.', 'Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position.', 'Flex your hips and spine to raise your torso toward your knees.', 'At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only ¾ of the way down.', 'Repeat for the recommended amount of repetitions.'",strength,3_4_Sit-Up,3_4_Sit-Up/0.jpg,3_4_Sit-Up/1.jpg
Alternate Leg Diagonal Bound,push,beginner,compound,,quadriceps,"abductors, adductors, calves, glutes, hamstrings","'Assume a comfortable stance with one foot slightly in front of the other.', 'Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound.', 'It may help to use a line on the ground to guage distance from side to side.', 'Repeat the sequence with the other leg.'",plyometrics,Alternate_Leg_Diagonal_Bound,Alternate_Leg_Diagonal_Bound/0.jpg,Alternate_Leg_Diagonal_Bound/1.jpg
Anti-Gravity Press,push,beginner,compound,barbell,shoulders,"middle back, traps, triceps","'Place a bar on the ground behind the head of an incline bench.', 'Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position.', 'To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement.', 'Return to the starting position and repeat to complete the set.'",strength,Anti-Gravity_Press,Anti-Gravity_Press/0.jpg,Anti-Gravity_Press/1.jpg
Ball Leg Curl,pull,beginner,isolation,exercise ball,hamstrings,"calves, glutes","'Begin on the floor laying on your back with your feet on top of the ball.', 'Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position.', 'Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet.', 'Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings.', 'After a brief pause, return to the starting position.'",strength,Ball_Leg_Curl,Ball_Leg_Curl/0.jpg,Ball_Leg_Curl/1.jpg
Band Skull Crusher,push,beginner,isolation,bands,triceps,,"'Secure a band to the base of a rack or the bench. Lay on the bench so that the band is lined up with your head.', 'Take hold of the band, raising your elbows so that the upper arm is perpendicular to the floor. With the elbow flexed, the band should be above your head. This will be your starting position.', 'Extend through the elbow to straighten your arm, keeping your upper arm in place. Pause at the top of the motion, and return to the starting position.'",strength,Band_Skull_Crusher,Band_Skull_Crusher/0.jpg,Band_Skull_Crusher/1.jpg
Barbell Rear Delt Row,pull,beginner,compound,barbell,shoulders,"biceps, lats, middle back","'Stand up straight while holding a barbell using a wide (higher than shoulder width) and overhand (palms facing your body) grip.', 'Bend knees slightly and bend over as you keep the natural arch of your back. Let the arms hang in front of you as they hold the bar. Once your torso is parallel to the floor, flare the elbows out and away from your body. Tip: Your torso and your arms should resemble the letter T. Now you are ready to begin the exercise.', 'While keeping the upper arms perpendicular to the torso, pull the barbell up towards your upper chest as you squeeze the rear delts and you breathe out. Tip: When performed correctly, this exercise should resemble a bench press in reverse. Also, refrain from using your biceps to do the work. Focus on targeting the rear delts; the arms should only act as hooks.', 'Slowly go back to the initial position as you breathe in.', 'Repeat for the recommended amount of repetitions.'",strength,Barbell_Rear_Delt_Row,Barbell_Rear_Delt_Row/0.jpg,Barbell_Rear_Delt_Row/1.jpg
Barbell Squat,push,beginner,compound,barbell,quadriceps,"calves, glutes, hamstrings, lower back","'This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack to just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section).', 'Begin to slowly lower the bar by bending the knees and hips as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.', 'Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs again and go back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Barbell_Squat,Barbell_Squat/0.jpg,Barbell_Squat/1.jpg
Bench Sprint,push,beginner,compound,other,quadriceps,"calves, glutes, hamstrings","'Stand on the ground with one foot resting on a bench or box with your heel close to the edge.', 'Push off with your foot on top of the bench, extending through the hip and knee.', 'Land with the opposite foot on top of the box, returning your other foot back to the start position.', 'Continue alternating from one foot to another to complete the set.'",plyometrics,Bench_Sprint,Bench_Sprint/0.jpg,Bench_Sprint/1.jpg
Bent Over Two-Dumbbell Row,pull,beginner,compound,dumbbell,middle back,"biceps, lats, shoulders","'With a dumbbell in each hand (palms facing your torso), bend your knees slightly and bring your torso forward by bending at the waist; as you bend make sure to keep your back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.', 'While keeping the torso stationary, lift the dumbbells to your side (as you breathe out), keeping the elbows close to the body (do not exert any force with the forearm other than holding the weights). On the top contracted position, squeeze the back muscles and hold for a second.', 'Slowly lower the weight again to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.'",strength,Bent_Over_Two-Dumbbell_Row,Bent_Over_Two-Dumbbell_Row/0.jpg,Bent_Over_Two-Dumbbell_Row/1.jpg
Bosu Ball Cable Crunch With Side Bends,pull,beginner,isolation,cable,abdominals,,"'Connect a standard handle to each arm of a cable machine, and position them in the most downward position.', 'Grab a Bosu Ball and position it in front and center of the cable machine.', 'Lie down on the Bosu Ball with the small of your back arched around the ball. Your rear end should be close to the floor without touching it.', 'With both hands, reach back and grab the handle of each cable.', 'With your feet positioned in a wide stance, extend your arms straight out in front of you and in between your knees. Your hands should be at knee level.', 'Keep your arms straight and in-line with the upward angle of the cable. Elevate your torso in a crunching motion without dropping or bending your arms.', 'Maintain the rigid position with your arms. Slowly descend back to the starting position with your back arched around the Bosu Ball and your abdominals elongated.', 'Repeat the same series of movements to failure.', 'Once you reach failure, keep your abs tight and raise your torso into plank position so your back is elevated off the Bosu Ball.', 'Lower your arms down to your side; keep them straight. Start doing alternating side bends; reach for your heels! This finishing movement will focus on your obliques.'",strength,Bosu_Ball_Cable_Crunch_With_Side_Bends,Bosu_Ball_Cable_Crunch_With_Side_Bends/0.jpg,Bosu_Ball_Cable_Crunch_With_Side_Bends/1.jpg
